"Task List","Task Name","Parent Task","Owner","Duration (days)","Dependency","Description"
"Infrastructure & Platform","Polyrepo migration + release manifests","","D + PL","4","","Repository & release strategy: split into six repos (four service + ewtss-release + ewtss-references), namespaced tags, versioned YAML release manifests, per-repo .claude/CLAUDE.md standard."
"Infrastructure & Platform","CI bring-up harness","","D","3","Kafka topic provisioning scripts","Native spin-up of Kafka + PostgreSQL + drs-server + drs-bridge for the integration test environment. NOTE: org-hosted CI runners currently paused."
"drs-server","FastAPI scaffold + lifespan consumers","","F","4","Contract artefact freeze","FastAPI scaffold; async engine + asyncpg pool; lifespan-managed Kafka consumers; first echo consumer."
"drs-server","Per-variant Kafka consumers to TimescaleDB","","F","6","FastAPI scaffold + lifespan consumers, First-variant C++ parser","Per-variant consumer services (~40 lines each); batched writes (100 msg / 500 ms); manual offset commit only after successful DB write."
"drs-server","WebSocket fan-out hub","","F","5","Per-variant Kafka consumers to TimescaleDB","Subscribe to Kafka topics, broadcast to subscribed clients; auto-reconnect on consumer crash with exponential backoff."
"drs-server","Consumer supervisor + health endpoints","","F","3","Per-variant Kafka consumers to TimescaleDB","Consumer supervisor with exponential backoff + restart-count metric; /health/consumers and /health/<variant>/<instance>."
"drs-server","E Python ramp","","E","10","","Weeks 1-2 pair with F on drs-server idioms (async SQLAlchemy, asyncpg, Pydantic, FastAPI lifespan). Specialist risk: must complete by week 3."
"drs-server","REST query endpoints","","E","6","DB foundation (SQLAlchemy + Alembic), E Python ramp","Paginated/time-bounded query endpoints (no query.all()): /measurements, /measurements/export (StreamingResponse), /sessions, /sessions/{id}/stats."
"drs-server","RBAC + JWT auth","","E","8","RBAC role definitions, REST query endpoints","Users/roles/features/permissions tables + middleware; JWT issuance + refresh; token verify on every mutating route."
"drs-server","Auth lifecycle endpoints","","E","5","RBAC + JWT auth, Auth lifecycle flow designs","B1.17 server side: /auth/* logout, refresh rotation, lockout, password reset, token-revocation list."
"drs-server","PDF report generation","","E","6","Report template catalogue, REST query endpoints","WeasyPrint render: scenario summary, access-interval tables, post-exercise report. Not on critical path (ships in maintenance if needed)."
"drs-server","DRS roster store + API","","E + F","6","DB foundation (SQLAlchemy + Alembic)","B1.43 Plan 2a - roster/roster_entry/roster_revision tables, RosterRepository, read/write/export-import REST endpoints. Implemented (PR #2)."
"drs-server","Roster publisher + presence + readiness reconcile","","E + F","5","DRS roster store + API, Kafka topic provisioning scripts","B1.43 Plan 2b - RosterPublisher to compacted drs.roster, PresenceConsumer, POST /exercise/readiness, port allocator. Implemented."
"drs-server","Telemetry retention policy enforcement","","F","3","Per-variant Kafka consumers to TimescaleDB","B1.34 - per-class retention on hypertables; disk-full backpressure behaviour; operator alert."
"drs-server","drs-server performance hardening","","F + D","10","WebSocket fan-out hub, REST query endpoints","Weeks 12-17: harden to 2,000 msg/s SLA; query-latency budgets; async session-leak guard under sustained load."
"drs-bridge","asyncio TCP server + stream reassembly","","A","4","Contract artefact freeze","handle_client coroutine + stream-reassembly buffer (structurally fixes the legacy recv(4096)-without-buffer bug)."
"drs-bridge","drs-bridge runtime skeleton","","A","4","asyncio TCP server + stream reassembly","Config + profile loader, parser ctypes loader, transport, Runtime, signal-handled main (B1.3 Phase 4). Shipped on main."
"drs-bridge","ParserHandle ctypes wrapper","","A","3","Parser ABI freeze","ctypes wrapper around the four-symbol C++ parser ABI."
"drs-bridge","ResponseRouter + SessionRegistry","","A","6","asyncio TCP server + stream reassembly, ParserHandle ctypes wrapper","Mode-switching from drs.session.control to RandomGenerator / ScenarioPublisherClient / HardwareRelay; per-hardware session state replacing the legacy global isRandom flag."
"drs-bridge","RandomGenerator (Random mode)","","A","4","ResponseRouter + SessionRegistry","Per-hardware random data within YAML-declared ranges; drs.session.control topic for start/stop."
"drs-bridge","ScenarioPublisherClient (Scenario mode)","","A","4","ResponseRouter + SessionRegistry, Scenario publisher endpoint","HTTP client to SG scenario publisher; audit log of scenario-authoring operations."
"drs-bridge","HardwareRelay (Integrated mode)","","A","5","ResponseRouter + SessionRegistry, DRS instance addressing (per-instance transport)","TCP forward to entity-controller apps; entity-response consumption back into Kafka."
"drs-bridge","DRS instance addressing (per-instance transport)","","A","6","Roster publisher + presence + readiness reconcile","B1.43 Plan 1 - per-instance command servers, roster consumer, hot-reload diffing, framing-probation identity guard. Merged (PR #1)."
"drs-bridge","Hardware-config backend endpoints","","A","3","DRS roster store + API","drs-server-side surface for G's IP/network-config panel (CRUD against roster)."
"drs-bridge","ICD codegen tool","","A","6","First-variant C++ parser, Second/third variant parsers","Excel-ICD-to-C++/YAML/TypeScript skeleton generator; regression-diffed against hand-written variant 1; used from variant 3 onward."
"C++ Parser Libraries","Parser ABI freeze","","C","3","","Freeze the 4-symbol ABI (extract_frame, parse_message, format_response, free_result) against drs-bridge/parsers/reference/. CRITICAL PATH (week 2)."
"C++ Parser Libraries","Common parser library","","C","4","Parser ABI freeze","Shared frame_buffer, json_writer, header-scan helpers reused across variants."
"C++ Parser Libraries","CMake build + ctypes verification","","C","2","First-variant C++ parser","Shared-library (.dll) targets for Windows; Python ctypes binding verification."
"C++ Parser Libraries","First-variant C++ parser","","C","5","Parser ABI freeze, Common parser library","First IRS frame layout + golden-frame tests. CRITICAL PATH (weeks 1-4)."
"C++ Parser Libraries","Second/third variant parsers","","C","6","First-variant C++ parser","parse_message bodies for priority variants 2-3."
"C++ Parser Libraries","Variant parsers 4-6","","C","9","Second/third variant parsers, ICD codegen tool","parse_message + format_response for variants 4-6."
"C++ Parser Libraries","Variant parsers 7-9","","C","9","Variant parsers 4-6","parse_message for variants 7-9 per customer priority."
"C++ Parser Libraries","Variant parsers 10-12","","C","9","Variant parsers 7-9","Final priority-list variants; each documented with a golden-frame fixture."
"C++ Parser Libraries","Legacy variant migration","","C","5","First-variant C++ parser","Migrate legacy command.csv/structure.csv (SRX, MRX, GNSS, JSVUSHF) into the C++-parser model."
"C++ Parser Libraries","Fuzz harness for extract_frame","","C","3","Variant parsers 4-6","Fuzz extract_frame against random input bytes across all variants (from week 9)."
"SG","STK Desktop UX review","","B","4","","Weeks 1-2: review STK Desktop placement/editing UX and improve SG discoverability where the embedded ActiveX env allows (ADR-016)."
"SG","Transmitter typed entity","","B","2","Typed-entity DTO spec","DTO + view-model + WPF panel + IScenarioBackend methods + tests (~1.5 days)."
"SG","Receiver typed entity","","B","2","Transmitter typed entity","Same typed-entity pattern as Transmitter."
"SG","Antenna typed entity","","B","2","Transmitter typed entity","Same typed-entity pattern as Transmitter."
"SG","Scenario publisher endpoint","","B","4","Transmitter typed entity","GET /exercises/{id}/responses?group_id&unit_id&tick returning pre-computed responses from computed_links; hosted from SG during execution."
"SG","STK compute write-back pipeline","","B","8","Scenario publisher endpoint","IScenarioBackend.ComputeLinks runs STK link-analysis tick-by-tick, batches results, writes computed_links to WS2 PostgreSQL over LAN. CRITICAL PATH."
"SG","Scenario library lifecycle + edit-invalidation","","B + F","6","STK compute write-back pipeline, EW Library UI","B1.19 - scenarios table state machine (NOT_COMPUTED/COMPUTED/STALE), partitioned content_json compute-input diff, immutable scenario_compute_snapshots, REPLACE-on-recompute."
"SG","Telemetry filter/search/sort UI","","B","3","SG-side UX wireframes","B1.10 - filter/search/sort controls for telemetry panels; per-operator persistence; export-filtered-rows."
"SG","Telemetry display panels (FF/FH/Burst/Health)","","B","8","WebSocket fan-out hub, SG-side UX wireframes, Telemetry filter/search/sort UI","WPF view-models per data class subscribing to drs-server WebSocket, rendered alongside the scenario globe. Not on critical path."
"SG","Map Management import UI","","B","5","SG-side UX wireframes","B1.5 - import dialog for Raster (JPEG/TIFF/GeoTIFF), Vector (Shape/KML), 3D (DTED dt0/dt1/dt2, DEM); STK layer registration; failure UX; per-scenario persistence."
"SG","GIS toolset operator UI","","B","8","SG-side UX wireframes","B1.6 - distance measurement, coordinate conversion (DMS/Decimal/IGRS), Line of Sight, Area Coverage, RLOS, layer manager, symbol library, FF/FH/Burst color coding."
"SG","EW Library UI","","B","6","SG-side UX wireframes","B1.7 - Emitter Library CRUD, Apriori Known Own/Enemy info base, emitter templates with versioning, library-to-scenario selection flow."
"SG","Environment modelling config UI","","B","3","SG-side UX wireframes","B1.8 - per-scenario precipitation/fog/atmospheric settings mapped to STK environment-model parameters."
"SG","Exercise mode configuration UIs","","B + A","5","SG-side UX wireframes","B1.9 - Random-mode parameter-range editor per variant, Scenario-mode computed-exercise picker, new-emitter-mid-planning flow."
"SG","Integrated-mode readiness panel","","B","4","Roster publisher + presence + readiness reconcile, SG-side UX wireframes","B1.43 Plan 3 - catalogue cache + /exercise/readiness panel showing per-instance configured/reachable/time_synced + roster drift."
"SG","Reports panel + PDF template picker","","B","3","PDF report generation, SG-side UX wireframes","B1.11 UI trigger - reports panel + PDF template picker driving E's WeasyPrint render."
"SG","Recordings replay UI","","B","5","SG-side UX wireframes","B1.12 - post-exercise replay: timeline scrubber, per-event log, GIS replay, telemetry replay."
"SG","Log Management UI (4-class)","","B + E","5","SG-side UX wireframes, RBAC + JWT auth","B1.13 - User/Sent-Message/Receive-Message/System log viewer with filter/sort/export; cross-link to DRS-side per-variant logs."
"SG","DB Purge confirmation flow","","B","3","SG-side UX wireframes","B1.14 - multi-step destructive-action UX: pre-purge backup prompt, two-step confirm, admin-only RBAC gate."
"SG","Admin user/role management UI","","B","4","RBAC + JWT auth, SG-side UX wireframes","Admin surface for user/role/feature/permission management; time-sync admin; DB backup/restore/purge entry points."
"SG","STK lease-licence expiry handling","","B + Ops","2","","B1.35 - 30/7/1-day expiry warnings + day-366 renewal procedure; startup licence-reachability check."
"SG","SG save/load + cold-start polish","","B","4","Transmitter typed entity","Scenario file dialog, Save As .vdf with password, splash-window cold-start verification."
"SG","SG UI automation harness","","B","4","Telemetry display panels (FF/FH/Burst/Health)","B1.29 - FlaUI/Appium harness covering critical operator flows."
"DRS Webapp","Webapp scaffold (React + Vite)","","G","3","Contract artefact freeze","React-in-JavaScript (Vite, Vitest + RTL, SCSS) per ADR-018; hello-world SPA served by drs-server at /. Scaffold landed."
"DRS Webapp","Webapp shell + auth flow","","G","5","Webapp scaffold (React + Vite), RBAC + JWT auth","Login consuming E's JWT issuance; auth-guarded routes; landing dashboard; first live data card from one variant."
"DRS Webapp","Per-variant monitor-scan views","","G","10","Webapp shell + auth flow, WebSocket fan-out hub, DRS-side UX wireframes","Live message-rate via WebSocket; variant tab navigation; per-class message counters. Rolled out across variants in phases 3-6."
"DRS Webapp","Message log viewer (Sent/Receive)","","G","6","Webapp shell + auth flow, DRS-side UX wireframes","RFQ §F Manage Logs - per-variant Sent/Receive message logs with filter/sort/export."
"DRS Webapp","IP / network configuration panel","","G","5","Hardware-config backend endpoints, DRS-side UX wireframes","B1.43 Plan 3 - per-variant IP/network config CRUD against drs-server roster; YAML export/import surface."
"DRS Webapp","Health detail view (LRU/subsystem/comm-link)","","G","4","Consumer supervisor + health endpoints, DRS-side UX wireframes","RFQ §B - LRU + sub-system + communication-link health detail; Kafka consumer health at-a-glance."
"DRS Webapp","Per-variant control surfaces","","G","4","Per-variant monitor-scan views","Restart TCP server / parser via drs-server endpoints, with operator confirmation gates on disruptive actions."
"DRS Webapp","Webapp accessibility pass","","G","3","Per-variant monitor-scan views","Keyboard navigation + screen-reader labels for instructor environments."
"DRS Webapp","Webapp e2e + coverage gate","","G","3","Webapp shell + auth flow","B1.30 - Playwright smoke + Vitest coverage threshold."
"DRS Webapp","Webapp checkJs type-safety decision","","G + PL","1","","B1.45 - decide editor-only vs enforced tsc gate vs status-quo for the JS DTO boundary. DECISION REQUIRED before Phase-6 surfaces."
"Integration, Testing & Acceptance","Integration test rig (base)","","D","5","CI bring-up harness","SDFC simulator + harness scaffolding at infrastructure/integration-tests/; drives one variant, then all priority variants."
"Integration, Testing & Acceptance","Synthetic Kafka producer + multi-instance simulator","","D","4","Integration test rig (base)","Load-test producer at configurable msg/s + N-concurrent-instance simulator (10/50/100) for capacity testing."
"Integration, Testing & Acceptance","STK fixture scenarios","","D + B","3","STK compute write-back pipeline","Pre-built .sc scenarios per compute path (point-to-point, area coverage, mobile entities) as deterministic compute-round-trip input."
"Integration, Testing & Acceptance","Entity-controller app simulator","","D + A","3","Integration test rig (base)","Simulate entity-workstation TCP endpoints for the Integrated-mode round-trip."
"Integration, Testing & Acceptance","STK install diagnostic tool (stk-doctor)","","D","3","","B1.31 - env vars, COM registrations, host-present, licence-reachable checks. Needed before air-gapped install rehearsal."
"Integration, Testing & Acceptance","Phase 1 gate - contracts","","D","2","Contract artefact freeze, Parser ABI freeze","Week 2: parser ABI smoke green; OpenAPI validates against scaffold; Kafka topics + hypertables created and reachable."
"Integration, Testing & Acceptance","Phase 2 gate - first end-to-end","","D","2","Per-variant Kafka consumers to TimescaleDB, WebSocket fan-out hub, Webapp shell + auth flow, Integration test rig (base)","Week 5: single-variant SDFC-to-DB-to-UI round-trip <500ms p99, zero offset-before-write violations; webapp live card for same variant."
"Integration, Testing & Acceptance","Phase 3 gate - Random mode + load","","D","2","RandomGenerator (Random mode), Synthetic Kafka producer + multi-instance simulator, Per-variant monitor-scan views","Week 8: 4-variant Random mode + 1,000 msg/s sustained 10 min; zero consumer crashes; WS fan-out complete."
"Integration, Testing & Acceptance","Phase 4 gate - Scenario mode + compute","","D","2","STK compute write-back pipeline, ScenarioPublisherClient (Scenario mode), STK fixture scenarios","Week 11: compute-to-publish-to-DB-to-UI round-trip; 1,500 msg/s; Path 3 cross-LAN latency p99 <= 30 ms."
"Integration, Testing & Acceptance","Phase 5 gate - Integrated mode","","D","2","HardwareRelay (Integrated mode), Entity-controller app simulator","Week 13: 1-variant Integrated + Scenario concurrent; 9-12 variants total; Path 3 latency re-measured under Integrated load."
"Integration, Testing & Acceptance","Air-gapped install rehearsal","","D","5","Air-gap dependency vendoring process, WiX MSI installer + DVD packaging","Clean two-workstation VM deployment; DVD packaging dry-run (week 9 onward)."
"Integration, Testing & Acceptance","WiX MSI installer + DVD packaging","","D","8","Air-gap dependency vendoring process","WiX/MSI installer consuming packages/ directly; DRS webapp built static assets shipped under drs-server webapp_static/; offline install verification."
"Integration, Testing & Acceptance","Phase 6 gate - all variants + DVD install","","D","3","Variant parsers 10-12, WiX MSI installer + DVD packaging, Air-gapped install rehearsal","Week 15: clean two-WS DVD install <90 min per WS, no manual fix-ups; webapp loads on first WS2 boot."
"Integration, Testing & Acceptance","Security review + penetration testing","","Sec","10","RBAC + JWT auth, Auth lifecycle endpoints","B1.28 - pen test, RBAC audit, input fuzzing, SQLi check (weeks 13-15; findings need remediation time)."
"Integration, Testing & Acceptance","WS1-WS2 partition resilience tests","","B + F + A","4","WebSocket fan-out hub, STK compute write-back pipeline","B1.37 - reconnect/backoff, compute pause/resume, operator partition indicator (Phase 5)."
"Integration, Testing & Acceptance","Power-failure recovery tests","","B + F","3","STK compute write-back pipeline","B1.38 - atomic compute batches; resume-or-discard on unclean restart (Phase 5/6)."
"Integration, Testing & Acceptance","Phase 7 gate - performance + acceptance","","D + all","5","drs-server performance hardening, Phase 6 gate - all variants + DVD install","Week 17: 2,000 msg/s sustained >=30 min, query-latency budgets met; full cumulative suite + acceptance demo script passes."
"Documentation & Delivery","SRS document","","PL + AL","15","Detailed UX wireframes","B1.21 - RFQ M1 #1; drafted from the operator-playbook traceability matrix spine. Due end of Milestone-1."
"Documentation & Delivery","ATP / STD / STR drafts","","PL + D","12","Phase 4 gate - Scenario mode + compute","B1.22 - RFQ M2 #2; ATP draft wk12, customer sign-off wk14; STD/STR wks14-15."
"Documentation & Delivery","User manuals","","B + G + PL","10","SG-side UX wireframes, DRS-side UX wireframes","B1.23 - RFQ M2 #5; trainee-facing, from the operator playbook. Draft wk12, final wk17."
"Documentation & Delivery","DVD install procedure (deployment guide)","","D","4","Air-gapped install rehearsal","B1.32 - finalise deployment-guide §5 placeholder and rehearse."
"Documentation & Delivery","Air-gapped maintenance/hotfix procedure","","D + PL","3","DVD install procedure (deployment guide)","B1.33 - patch packaging, customer-IT approval, rollback. Maintenance handbook (wk16)."
"Documentation & Delivery","IRS document store + traceability","","C + D","3","","B1.24/B1.36 - IRS versioning store, IRS-to-parser traceability, build-time + runtime IRS-version stamping, IRS-revision change-management."
"Documentation & Delivery","Third-party licence catalogue","","D","2","Air-gap dependency vendoring process","B1.39 - MIT/Apache/BSD allow, GPL/AGPL/LGPL block; auto-generated, reviewed at each milestone gate."
"Documentation & Delivery","Knowledge-transfer / handoff plan","","PL","5","Phase 7 gate - performance + acceptance","B1.40 - customer team trained for warranty + IP handover; draft wk14, sit-with wks15-17."
"Documentation & Delivery","Customer issue-reporting workflow","","D + PL","2","","B1.41 - air-gapped structured form + redacted log export + vendor tracker."
"Documentation & Delivery","Customer clarifications bundle","","PL + AL","2","","B1.42 - resolve classroom topology (single/multi-SG), audit-log integrity, localisation, accessibility. Raise at design review."
